Question,Country,Filters,Responses,Result
Resilience: time required to recover,Croatia,Women - Under 35,no,46.77675319
Feeling tense ,Croatia,Women - Under 35,no,61.33338016
Feeling lonely,Croatia,Women - Under 35,no,71.47962868
Feeling downhearted and depressed,Croatia,Women - Under 35,no,72.13738276
Worrying about work when not working,Croatia,Women - Under 35,no,75.44932185
Tiredness impact on ability to do household jobs,Croatia,Women - Under 35,no,37.03273845
Job impact on time given to family,Croatia,Women - Under 35,no,58.33481717
Family responsibilities impact on concentration on job,Croatia,Women - Under 35,no,90.53044066
Family responsibilities impact on time spent on job,Croatia,Women - Under 35,no,96.84348022
Job insecurity,Croatia,Women - Under 35,no,95.41118572
Making ends meet,Croatia,Women - Under 35,no,66.10109414
Arrears: Rent or mortgage payments for accommodation,Croatia,Women - Under 35,no,86.47182679
Arrears: Utility bills,Croatia,Women - Under 35,no,64.23417139
"Arrears: Payments related to consumer loans, including credit card overdrafts",Croatia,Women - Under 35,no,76.76853834
"Arrears: Telephone, mobile or internet connection bills",Croatia,Women - Under 35,no,70.40022231
Arrears: Payments related to informal loans from friends or relatives not living in your household,Croatia,Women - Under 35,no,88.02995121
Arrears: Payments for healthcare or health insurance,Croatia,Women - Under 35,no,82.26483588
Housing security,Croatia,Women - Under 35,no,93.54975752
Unmet need for healthcare,Croatia,Women - Under 35,no,79.25317017
Optimism about future,Slovenia,Women - Under 35,no,50.76929098
Optimism about future of country ,Slovenia,Women - Under 35,no,85.41543329
I feel I am free to decide how to live my life,Slovenia,Women - Under 35,no,62.35190986
Resilience: dealing with problems in life,Slovenia,Women - Under 35,no,52.24830234
Resilience: time required to recover,Slovenia,Women - Under 35,no,39.99419288
Feeling tense ,Slovenia,Women - Under 35,no,52.28401009
Feeling lonely,Slovenia,Women - Under 35,no,73.17708977
Feeling downhearted and depressed,Slovenia,Women - Under 35,no,64.32211485
Worrying about work when not working,Slovenia,Women - Under 35,no,82.37921806
Tiredness impact on ability to do household jobs,Slovenia,Women - Under 35,no,60.01217676
Job impact on time given to family,Slovenia,Women - Under 35,no,75.30785352
Family responsibilities impact on concentration on job,Slovenia,Women - Under 35,no,96.46431773
Family responsibilities impact on time spent on job,Slovenia,Women - Under 35,no,94.12000275
Job insecurity,Slovenia,Women - Under 35,no,91.87097278
Making ends meet,Slovenia,Women - Under 35,no,64.37581532
Arrears: Rent or mortgage payments for accommodation,Slovenia,Women - Under 35,no,88.08663507
Arrears: Utility bills,Slovenia,Women - Under 35,no,81.7283967
"Arrears: Payments related to consumer loans, including credit card overdrafts",Slovenia,Women - Under 35,no,89.01210448
"Arrears: Telephone, mobile or internet connection bills",Slovenia,Women - Under 35,no,83.9479038
Arrears: Payments related to informal loans from friends or relatives not living in your household,Slovenia,Women - Under 35,no,82.54011751
Arrears: Payments for healthcare or health insurance,Slovenia,Women - Under 35,no,95.38524876
Housing security,Slovenia,Women - Under 35,no,87.39202966
Unmet need for healthcare,Slovenia,Women - Under 35,no,58.48809413
Optimism about future,Poland,Women - Under 35,no,69.11277265
Optimism about future of country ,Poland,Women - Under 35,no,83.98427969
I feel I am free to decide how to live my life,Poland,Women - Under 35,no,76.02225223
Resilience: dealing with problems in life,Poland,Women - Under 35,no,41.50751914
Resilience: time required to recover,Poland,Women - Under 35,no,31.88936909
Feeling tense ,Poland,Women - Under 35,no,55.11026011
Feeling lonely,Poland,Women - Under 35,no,64.78735843
Feeling downhearted and depressed,Poland,Women - Under 35,no,65.95492299
Worrying about work when not working,Poland,Women - Under 35,no,75.53673874
Tiredness impact on ability to do household jobs,Poland,Women - Under 35,no,25.30761258
Job impact on time given to family,Poland,Women - Under 35,no,78.56653814
Family responsibilities impact on concentration on job,Poland,Women - Under 35,no,96.3492049
Family responsibilities impact on time spent on job,Poland,Women - Under 35,no,99.08730122
Job insecurity,Poland,Women - Under 35,no,89.54721092
Making ends meet,Poland,Women - Under 35,no,72.60178862
Arrears: Rent or mortgage payments for accommodation,Poland,Women - Under 35,no,93.61890718
Arrears: Utility bills,Poland,Women - Under 35,no,84.16554287
"Arrears: Payments related to consumer loans, including credit card overdrafts",Poland,Women - Under 35,no,84.70756808
"Arrears: Telephone, mobile or internet connection bills",Poland,Women - Under 35,no,90.08950063
Arrears: Payments related to informal loans from friends or relatives not living in your household,Poland,Women - Under 35,no,82.94268983
Arrears: Payments for healthcare or health insurance,Poland,Women - Under 35,no,89.57498359
Housing security,Poland,Women - Under 35,no,91.97757626
Unmet need for healthcare,Poland,Women - Under 35,no,67.97806204
Optimism about future,Ireland,Women - Under 35,no,38.55188603
Optimism about future of country ,Ireland,Women - Under 35,no,66.28190401
I feel I am free to decide how to live my life,Ireland,Women - Under 35,no,49.09977209
Resilience: dealing with problems in life,Ireland,Women - Under 35,no,43.80175506
Resilience: time required to recover,Ireland,Women - Under 35,no,47.3424956
Feeling tense ,Ireland,Women - Under 35,no,64.5416193
Feeling lonely,Ireland,Women - Under 35,no,80.95935469
Feeling downhearted and depressed,Ireland,Women - Under 35,no,69.84600477
Worrying about work when not working,Ireland,Women - Under 35,no,79.55937307
Tiredness impact on ability to do household jobs,Ireland,Women - Under 35,no,58.06609404
Job impact on time given to family,Ireland,Women - Under 35,no,78.50672097
Family responsibilities impact on concentration on job,Ireland,Women - Under 35,no,94.61445143
Family responsibilities impact on time spent on job,Ireland,Women - Under 35,no,94.55581155
Job insecurity,Ireland,Women - Under 35,no,92.31922897
Making ends meet,Ireland,Women - Under 35,no,73.92176673
Arrears: Rent or mortgage payments for accommodation,Ireland,Women - Under 35,no,91.12443155
Arrears: Utility bills,Ireland,Women - Under 35,no,82.2488631
"Arrears: Payments related to consumer loans, including credit card overdrafts",Ireland,Women - Under 35,no,90.50627125
"Arrears: Telephone, mobile or internet connection bills",Ireland,Women - Under 35,no,82.87167074
Arrears: Payments related to informal loans from friends or relatives not living in your household,Ireland,Women - Under 35,no,83.55818403
Arrears: Payments for healthcare or health insurance,Ireland,Women - Under 35,no,94.65172142
Housing security,Ireland,Women - Under 35,no,94.38724738
Unmet need for healthcare,Ireland,Women - Under 35,no,68.11475627
Optimism about future,Germany,Women - Under 35,no,44.98396158
Optimism about future of country ,Germany,Women - Under 35,no,85.62948641
I feel I am free to decide how to live my life,Germany,Women - Under 35,no,44.24380958
Resilience: dealing with problems in life,Germany,Women - Under 35,no,61.21561304
Resilience: time required to recover,Germany,Women - Under 35,no,65.79265976
Feeling tense ,Germany,Women - Under 35,no,81.57553046
Feeling lonely,Germany,Women - Under 35,no,87.27337079
Feeling downhearted and depressed,Germany,Women - Under 35,no,88.03771041
Worrying about work when not working,Germany,Women - Under 35,no,50.78378029
Tiredness impact on ability to do household jobs,Germany,Women - Under 35,no,62.70049728
Job impact on time given to family,Germany,Women - Under 35,no,70.39335471
Family responsibilities impact on concentration on job,Germany,Women - Under 35,no,94.45462532
Family responsibilities impact on time spent on job,Germany,Women - Under 35,no,87.83436848
Job insecurity,Germany,Women - Under 35,no,97.43634989
Making ends meet,Germany,Women - Under 35,no,80.91419848
Arrears: Rent or mortgage payments for accommodation,Germany,Women - Under 35,no,94.36297568
Arrears: Utility bills,Germany,Women - Under 35,no,94.32545702
"Arrears: Payments related to consumer loans, including credit card overdrafts",Germany,Women - Under 35,no,92.34263883
"Arrears: Telephone, mobile or internet connection bills",Germany,Women - Under 35,no,92.24611491
Arrears: Payments related to informal loans from friends or relatives not living in your household,Germany,Women - Under 35,no,87.70522978
Arrears: Payments for healthcare or health insurance,Germany,Women - Under 35,no,93.04237278
Housing security,Germany,Women - Under 35,no,93.57918553
Unmet need for healthcare,Germany,Women - Under 35,no,76.22322324
Optimism about future,Bulgaria,Women - Under 35,no,47.55716709
Optimism about future of country ,Bulgaria,Women - Under 35,no,79.5810084
I feel I am free to decide how to live my life,Bulgaria,Women - Under 35,no,34.99040303
Resilience: dealing with problems in life,Bulgaria,Women - Under 35,no,73.72569016
Resilience: time required to recover,Bulgaria,Women - Under 35,no,55.49965236
Feeling tense ,Bulgaria,Women - Under 35,no,73.42146966
Feeling lonely,Bulgaria,Women - Under 35,no,81.40003722
Feeling downhearted and depressed,Bulgaria,Women - Under 35,no,85.33114851
Worrying about work when not working,Bulgaria,Women - Under 35,no,69.77924195
Tiredness impact on ability to do household jobs,Bulgaria,Women - Under 35,no,29.89063627
Job impact on time given to family,Bulgaria,Women - Under 35,no,52.11384154
Family responsibilities impact on concentration on job,Bulgaria,Women - Under 35,no,98.47845323
Family responsibilities impact on time spent on job,Bulgaria,Women - Under 35,no,99.23922662
Job insecurity,Bulgaria,Women - Under 35,no,88.83478145
Making ends meet,Bulgaria,Women - Under 35,no,58.34152235
Arrears: Rent or mortgage payments for accommodation,Bulgaria,Women - Under 35,no,87.30153392
Arrears: Utility bills,Bulgaria,Women - Under 35,no,76.3038189
"Arrears: Payments related to consumer loans, including credit card overdrafts",Bulgaria,Women - Under 35,no,72.14568633
"Arrears: Telephone, mobile or internet connection bills",Bulgaria,Women - Under 35,no,75.58438692
Arrears: Payments related to informal loans from friends or relatives not living in your household,Bulgaria,Women - Under 35,no,72.07675748
Arrears: Payments for healthcare or health insurance,Bulgaria,Women - Under 35,no,78.2217569
Housing security,Bulgaria,Women - Under 35,no,88.0002845
Unmet need for healthcare,Bulgaria,Women - Under 35,no,65.81085512
Optimism about future,Lithuania,Women - Under 35,no,64.5222892
Optimism about future of country ,Lithuania,Women - Under 35,no,68.94891548
I feel I am free to decide how to live my life,Lithuania,Women - Under 35,no,49.13076068
Resilience: dealing with problems in life,Lithuania,Women - Under 35,no,41.7651513
Resilience: time required to recover,Lithuania,Women - Under 35,no,48.53959929
Feeling tense ,Lithuania,Women - Under 35,no,55.81654479
Feeling lonely,Lithuania,Women - Under 35,no,69.80600384
Feeling downhearted and depressed,Lithuania,Women - Under 35,no,67.15328178
Worrying about work when not working,Lithuania,Women - Under 35,no,77.20190095
Tiredness impact on ability to do household jobs,Lithuania,Women - Under 35,no,45.6829102
Job impact on time given to family,Lithuania,Women - Under 35,no,66.22852643
Family responsibilities impact on concentration on job,Lithuania,Women - Under 35,no,97.92512997
Family responsibilities impact on time spent on job,Lithuania,Women - Under 35,no,98.00642183
Job insecurity,Lithuania,Women - Under 35,no,90.85049263
Making ends meet,Lithuania,Women - Under 35,no,81.51378423
Arrears: Rent or mortgage payments for accommodation,Lithuania,Women - Under 35,no,92.63890181
Arrears: Utility bills,Lithuania,Women - Under 35,no,88.73086226
"Arrears: Payments related to consumer loans, including credit card overdrafts",Lithuania,Women - Under 35,no,94.52458381
"Arrears: Telephone, mobile or internet connection bills",Lithuania,Women - Under 35,no,88.92384584
Arrears: Payments related to informal loans from friends or relatives not living in your household,Lithuania,Women - Under 35,no,90.73683024
Arrears: Payments for healthcare or health insurance,Lithuania,Women - Under 35,no,92.1651369
Housing security,Lithuania,Women - Under 35,no,91.06356623
Unmet need for healthcare,Lithuania,Women - Under 35,no,82.1106824
Optimism about future,Finland,Women - Under 35,no,70.47054371
Optimism about future of country ,Finland,Women - Under 35,no,90.36545082
I feel I am free to decide how to live my life,Finland,Women - Under 35,no,67.88462411
Resilience: dealing with problems in life,Finland,Women - Under 35,no,29.64429454
Resilience: time required to recover,Finland,Women - Under 35,no,28.15627811
Feeling tense ,Finland,Women - Under 35,no,73.00219081
Feeling lonely,Finland,Women - Under 35,no,75.72023489
Feeling downhearted and depressed,Finland,Women - Under 35,no,66.99318499
Worrying about work when not working,Finland,Women - Under 35,no,66.67411622
Tiredness impact on ability to do household jobs,Finland,Women - Under 35,no,47.51906643
Job impact on time given to family,Finland,Women - Under 35,no,66.67411622
Family responsibilities impact on concentration on job,Finland,Women - Under 35,no,92.50779583
Family responsibilities impact on time spent on job,Finland,Women - Under 35,no,96.66068508
Job insecurity,Finland,Women - Under 35,no,90.49769455
Making ends meet,Finland,Women - Under 35,no,52.35578572
Arrears: Rent or mortgage payments for accommodation,Finland,Women - Under 35,no,80.56231479
Arrears: Utility bills,Finland,Women - Under 35,no,79.53762192
"Arrears: Payments related to consumer loans, including credit card overdrafts",Finland,Women - Under 35,no,82.68533234
"Arrears: Telephone, mobile or internet connection bills",Finland,Women - Under 35,no,71.90364025
Arrears: Payments related to informal loans from friends or relatives not living in your household,Finland,Women - Under 35,no,81.90033227
Arrears: Payments for healthcare or health insurance,Finland,Women - Under 35,no,73.94048702
Housing security,Finland,Women - Under 35,no,75.26124468
Unmet need for healthcare,Finland,Women - Under 35,no,44.29839386
Unmet health need reason: could not afford it ,Finland,Women - Under 35,no,44.81456429
Unmet health need reason: waiting list,Finland,Women - Under 35,no,40.69481595
Unmet health need reason: could not take time off work / from caring for children or others,Finland,Women - Under 35,no,86.75618719
Unmet health need reason: too far to travel or no means of transport,Finland,Women - Under 35,no,81.74737366
Unmet health need reason: risk of contracting COVID-19 ,Finland,Women - Under 35,no,96.50512451
Unmet health needs: preventive screening or test,Finland,Women - Under 35,no,80.37383922
Unmet health needs: treatment for cancer ,Finland,Women - Under 35,no,100
Unmet health needs: scheduled surgery,Finland,Women - Under 35,no,93.35996878
Unmet health needs: examination or treatment by a hospital or specialist,Finland,Women - Under 35,no,61.52951816
Unmet health needs: examination or treatment by a GP/family doctor or health centre ,Finland,Women - Under 35,no,73.30179669
Unmet dental care needs,Finland,Women - Under 35,no,67.45747747
Unmet health needs: other ,Finland,Women - Under 35,no,93.07735472
Optimism about future,European Union,Women - Under 35,no,56.81040845
Optimism about future of country ,European Union,Women - Under 35,no,83.16125536
I feel I am free to decide how to live my life,European Union,Women - Under 35,no,58.59110293
Resilience: dealing with problems in life,European Union,Women - Under 35,no,53.28899267
Resilience: time required to recover,European Union,Women - Under 35,no,48.57495847
Feeling tense ,European Union,Women - Under 35,no,66.15812001
Feeling lonely,European Union,Women - Under 35,no,77.73587212
Feeling downhearted and depressed,European Union,Women - Under 35,no,74.76434499
Worrying about work when not working,European Union,Women - Under 35,no,62.08873684
Tiredness impact on ability to do household jobs,European Union,Women - Under 35,no,48.74884198
Job impact on time given to family,European Union,Women - Under 35,no,68.18564145
Family responsibilities impact on concentration on job,European Union,Women - Under 35,no,92.67430783
Family responsibilities impact on time spent on job,European Union,Women - Under 35,no,94.42755125
Job insecurity,European Union,Women - Under 35,no,89.44128833
Making ends meet,European Union,Women - Under 35,no,74.05495291
Arrears: Rent or mortgage payments for accommodation,European Union,Women - Under 35,no,92.43733881
Arrears: Utility bills,European Union,Women - Under 35,no,85.29745843
"Arrears: Payments related to consumer loans, including credit card overdrafts",European Union,Women - Under 35,no,87.47967913
"Arrears: Telephone, mobile or internet connection bills",European Union,Women - Under 35,no,86.97059533
Arrears: Payments related to informal loans from friends or relatives not living in your household,European Union,Women - Under 35,no,87.85305104
Arrears: Payments for healthcare or health insurance,European Union,Women - Under 35,no,87.56184773
Housing security,European Union,Women - Under 35,no,93.34636221
Unmet need for healthcare,European Union,Women - Under 35,no,72.46645964
Unmet health need reason: could not afford it ,European Union,Women - Under 35,no,54.97580491
Unmet health need reason: waiting list,European Union,Women - Under 35,no,32.06824119
Unmet health need reason: could not take time off work / from caring for children or others,European Union,Women - Under 35,no,78.61365673
Unmet health need reason: too far to travel or no means of transport,European Union,Women - Under 35,no,83.83247897
Unmet health need reason: risk of contracting COVID-19 ,European Union,Women - Under 35,no,95.20813874
Unmet health needs: preventive screening or test,European Union,Women - Under 35,no,81.38908675
Unmet health needs: treatment for cancer ,European Union,Women - Under 35,no,98.93875585
Unmet health needs: scheduled surgery,European Union,Women - Under 35,no,91.22057847
Unmet health needs: examination or treatment by a hospital or specialist,European Union,Women - Under 35,no,44.98220397
Unmet health needs: examination or treatment by a GP/family doctor or health centre ,European Union,Women - Under 35,no,86.26079553
Unmet dental care needs,European Union,Women - Under 35,no,69.28329124
Unmet health needs: other ,European Union,Women - Under 35,no,92.21903694
Optimism about future,Estonia,Women - Under 35,no,69.80036874
Optimism about future of country ,Estonia,Women - Under 35,no,87.03937057
I feel I am free to decide how to live my life,Estonia,Women - Under 35,no,65.74023204
Resilience: dealing with problems in life,Estonia,Women - Under 35,no,34.6653469
Resilience: time required to recover,Estonia,Women - Under 35,no,26.09315082
Feeling tense ,Estonia,Women - Under 35,no,51.29691013
Feeling lonely,Estonia,Women - Under 35,no,67.93167364
Feeling downhearted and depressed,Estonia,Women - Under 35,no,66.76138633
Worrying about work when not working,Estonia,Women - Under 35,no,52.57534356
Tiredness impact on ability to do household jobs,Estonia,Women - Under 35,no,33.23927361
Job impact on time given to family,Estonia,Women - Under 35,no,61.23872896
Family responsibilities impact on concentration on job,Estonia,Women - Under 35,no,85.69342723
Family responsibilities impact on time spent on job,Estonia,Women - Under 35,no,87.47165723
Job insecurity,Estonia,Women - Under 35,no,83.72966726
Making ends meet,Estonia,Women - Under 35,no,56.30393761
Arrears: Rent or mortgage payments for accommodation,Estonia,Women - Under 35,no,81.77363933
Arrears: Utility bills,Estonia,Women - Under 35,no,77.79008535
"Arrears: Payments related to consumer loans, including credit card overdrafts",Estonia,Women - Under 35,no,78.88029429
"Arrears: Telephone, mobile or internet connection bills",Estonia,Women - Under 35,no,78.01135586
Arrears: Payments related to informal loans from friends or relatives not living in your household,Estonia,Women - Under 35,no,73.04193662
Arrears: Payments for healthcare or health insurance,Estonia,Women - Under 35,no,89.55279495
Housing security,Estonia,Women - Under 35,no,88.31147604
Unmet need for healthcare,Estonia,Women - Under 35,no,68.17471677
Unmet health need reason: could not afford it ,Estonia,Women - Under 35,no,37.36006802
Unmet health need reason: waiting list,Estonia,Women - Under 35,no,27.80622681
Unmet health need reason: could not take time off work / from caring for children or others,Estonia,Women - Under 35,no,72.32645096
Unmet health need reason: too far to travel or no means of transport,Estonia,Women - Under 35,no,73.65866902
Unmet health need reason: risk of contracting COVID-19 ,Estonia,Women - Under 35,no,97.38276667
Unmet health needs: preventive screening or test,Estonia,Women - Under 35,no,87.75341099
Unmet health needs: treatment for cancer ,Estonia,Women - Under 35,no,100
Unmet health needs: scheduled surgery,Estonia,Women - Under 35,no,95.85224259
Unmet health needs: examination or treatment by a hospital or specialist,Estonia,Women - Under 35,no,54.02415279
Unmet health needs: examination or treatment by a GP/family doctor or health centre ,Estonia,Women - Under 35,no,76.35423217
Unmet dental care needs,Estonia,Women - Under 35,no,34.33674028
Unmet health needs: other ,Estonia,Women - Under 35,no,90.74811667
Financial and economic sanctions on Russia - government response,Bulgaria,Women - Under 35,Right amount,29.23076923
Financial and economic sanctions on Russia - government response,Croatia,Women - Under 35,Right amount,38.46153846
Financial and economic sanctions on Russia - government response,Czechia,Women - Under 35,Right amount,34.7826087
Financial and economic sanctions on Russia - government response,European Union,Women - Under 35,Right amount,32.14285714
Financial and economic sanctions on Russia - government response,Estonia,Women - Under 35,Right amount,38.60759494
Financial and economic sanctions on Russia - government response,Finland,Women - Under 35,Right amount,30.92783505
Financial and economic sanctions on Russia - government response,Germany,Women - Under 35,Right amount,18.42105263
Financial and economic sanctions on Russia - government response,Ireland,Women - Under 35,Right amount,39.13043478
Financial and economic sanctions on Russia - government response,Italy,Women - Under 35,Right amount,26.92307692
Financial and economic sanctions on Russia - government response,Latvia,Women - Under 35,Right amount,41.2371134
Financial and economic sanctions on Russia - government response,Lithuania,Women - Under 35,Right amount,41.66666667
Financial and economic sanctions on Russia - government response,Poland,Women - Under 35,Right amount,36.36363636
Financial and economic sanctions on Russia - government response,Sweden,Women - Under 35,Right amount,29.50819672
Military aid to Ukraine - government response,Bulgaria,Women - Under 35,Right amount,27.27272727
Military aid to Ukraine - government response,Croatia,Women - Under 35,Right amount,44.44444444
Military aid to Ukraine - government response,Czechia,Women - Under 35,Right amount,59.375
Military aid to Ukraine - government response,European Union,Women - Under 35,Right amount,45.74132492
Military aid to Ukraine - government response,Estonia,Women - Under 35,Right amount,45.83333333
Military aid to Ukraine - government response,Finland,Women - Under 35,Right amount,45.74468085
Military aid to Ukraine - government response,Germany,Women - Under 35,Right amount,28.35820896
Military aid to Ukraine - government response,Greece,Women - Under 35,Right amount,22.80701754
Military aid to Ukraine - government response,Ireland,Women - Under 35,Right amount,53.22580645
Military aid to Ukraine - government response,Italy,Women - Under 35,Right amount,37.25490196
Military aid to Ukraine - government response,Latvia,Women - Under 35,Right amount,70.2970297
Military aid to Ukraine - government response,Lithuania,Women - Under 35,Right amount,63.54166667
Military aid to Ukraine - government response,Poland,Women - Under 35,Right amount,61.25
Military aid to Ukraine - government response,Sweden,Women - Under 35,Right amount,52.38095238
Housing and assistance for Ukrainian refugees - government response,Bulgaria,Women - Under 35,Right amount,39.70588235
Housing and assistance for Ukrainian refugees - government response,Croatia,Women - Under 35,Right amount,56.8627451
Housing and assistance for Ukrainian refugees - government response,Czechia,Women - Under 35,Right amount,66.66666667
Housing and assistance for Ukrainian refugees - government response,European Union,Women - Under 35,Right amount,56.72268908
Housing and assistance for Ukrainian refugees - government response,Estonia,Women - Under 35,Right amount,52.90697674
Housing and assistance for Ukrainian refugees - government response,Finland,Women - Under 35,Right amount,63.04347826
Housing and assistance for Ukrainian refugees - government response,Germany,Women - Under 35,Right amount,64.2384106
Housing and assistance for Ukrainian refugees - government response,Ireland,Women - Under 35,Right amount,40.90909091
Housing and assistance for Ukrainian refugees - government response,Italy,Women - Under 35,Right amount,63.46153846
Housing and assistance for Ukrainian refugees - government response,Latvia,Women - Under 35,Right amount,68.93203883
Housing and assistance for Ukrainian refugees - government response,Lithuania,Women - Under 35,Right amount,65.95744681
Housing and assistance for Ukrainian refugees - government response,Poland,Women - Under 35,Right amount,50
Housing and assistance for Ukrainian refugees - government response,Romania,Women - Under 35,Right amount,59.61538462
Housing and assistance for Ukrainian refugees - government response,Sweden,Women - Under 35,Right amount,56.25
Humanitarian aid to Ukraine - government response,Bulgaria,Women - Under 35,Right amount,50
Humanitarian aid to Ukraine - government response,Croatia,Women - Under 35,Right amount,57.57575758
Humanitarian aid to Ukraine - government response,Czechia,Women - Under 35,Right amount,61
Humanitarian aid to Ukraine - government response,European Union,Women - Under 35,Right amount,55.46268657
Humanitarian aid to Ukraine - government response,Estonia,Women - Under 35,Right amount,55.68862275
Humanitarian aid to Ukraine - government response,Finland,Women - Under 35,Right amount,46.80851064
Humanitarian aid to Ukraine - government response,Germany,Women - Under 35,Right amount,53.84615385
Humanitarian aid to Ukraine - government response,Greece,Women - Under 35,Right amount,42.85714286
Humanitarian aid to Ukraine - government response,Ireland,Women - Under 35,Right amount,51.89873418
Humanitarian aid to Ukraine - government response,Italy,Women - Under 35,Right amount,62.96296296
Humanitarian aid to Ukraine - government response,Latvia,Women - Under 35,Right amount,68.86792453
Humanitarian aid to Ukraine - government response,Lithuania,Women - Under 35,Right amount,71.42857143
Humanitarian aid to Ukraine - government response,Poland,Women - Under 35,Right amount,69.13580247
Humanitarian aid to Ukraine - government response,Romania,Women - Under 35,Right amount,68
Humanitarian aid to Ukraine - government response,Sweden,Women - Under 35,Right amount,47.76119403
Expected financial situation of household in 3 months,Austria,Women - Under 35,The same,72
Expected financial situation of household in 3 months,Belgium,Women - Under 35,The same,57.14285714
Expected financial situation of household in 3 months,Bulgaria,Women - Under 35,The same,52.3255814
Expected financial situation of household in 3 months,Croatia,Women - Under 35,The same,40.55944056
Expected financial situation of household in 3 months,Czechia,Women - Under 35,The same,57.42574257
Expected financial situation of household in 3 months,Denmark,Women - Under 35,The same,56
Expected financial situation of household in 3 months,European Union,Women - Under 35,The same,52.44252874
Expected financial situation of household in 3 months,Estonia,Women - Under 35,The same,41.43646409
Expected financial situation of household in 3 months,Finland,Women - Under 35,The same,40.47619048
Expected financial situation of household in 3 months,Germany,Women - Under 35,The same,64.32160804
Expected financial situation of household in 3 months,Greece,Women - Under 35,The same,37.80487805
Expected financial situation of household in 3 months,Ireland,Women - Under 35,The same,55.20833333
Expected financial situation of household in 3 months,Italy,Women - Under 35,The same,54.23728814
Expected financial situation of household in 3 months,Latvia,Women - Under 35,The same,50.4587156
Expected financial situation of household in 3 months,Lithuania,Women - Under 35,The same,51.02040816
Expected financial situation of household in 3 months,Poland,Women - Under 35,The same,55.17241379
Expected financial situation of household in 3 months,Portugal,Women - Under 35,The same,63.46153846
Expected financial situation of household in 3 months,Romania,Women - Under 35,The same,61.40350877
Expected financial situation of household in 3 months,Slovenia,Women - Under 35,The same,63.01369863
Expected financial situation of household in 3 months,Sweden,Women - Under 35,The same,50.51546392
Financial situation of household now compared to 3 months ago,Austria,Women - Under 35,The same ,58.82352941
Financial situation of household now compared to 3 months ago,Belgium,Women - Under 35,The same ,58.46153846
Financial situation of household now compared to 3 months ago,Bulgaria,Women - Under 35,The same ,50.56179775
Financial situation of household now compared to 3 months ago,Croatia,Women - Under 35,The same ,40.81632653
Financial situation of household now compared to 3 months ago,Czechia,Women - Under 35,The same ,60.3960396
Financial situation of household now compared to 3 months ago,Denmark,Women - Under 35,The same ,58.82352941
Financial situation of household now compared to 3 months ago,European Union,Women - Under 35,The same ,51.44052045
Financial situation of household now compared to 3 months ago,Estonia,Women - Under 35,The same ,36.89839572
Financial situation of household now compared to 3 months ago,Finland,Women - Under 35,The same ,51.9379845
Financial situation of household now compared to 3 months ago,France,Women - Under 35,The same ,60.37735849
Financial situation of household now compared to 3 months ago,Germany,Women - Under 35,The same ,52
Financial situation of household now compared to 3 months ago,Greece,Women - Under 35,The same ,40.96385542
Financial situation of household now compared to 3 months ago,Hungary,Women - Under 35,The same ,68
Financial situation of household now compared to 3 months ago,Ireland,Women - Under 35,The same ,55.20833333
Financial situation of household now compared to 3 months ago,Italy,Women - Under 35,The same ,52.45901639
Financial situation of household now compared to 3 months ago,Latvia,Women - Under 35,The same ,46.95652174
Financial situation of household now compared to 3 months ago,Lithuania,Women - Under 35,The same ,46.66666667
Financial situation of household now compared to 3 months ago,Poland,Women - Under 35,The same ,54.34782609
Financial situation of household now compared to 3 months ago,Portugal,Women - Under 35,The same ,50
Financial situation of household now compared to 3 months ago,Romania,Women - Under 35,The same ,58.92857143
Financial situation of household now compared to 3 months ago,Slovenia,Women - Under 35,The same ,57.33333333
Financial situation of household now compared to 3 months ago,Sweden,Women - Under 35,The same ,49.49494949
"Without income, length of time household could maintain the same standard of living using savings",Belgium,Women - Under 35,From 3 up to 6 months ,24.19354839
"Without income, length of time household could maintain the same standard of living using savings",Bulgaria,Women - Under 35,From 3 up to 6 months ,21.59090909
"Without income, length of time household could maintain the same standard of living using savings",Croatia,Women - Under 35,From 3 up to 6 months ,17.14285714
"Without income, length of time household could maintain the same standard of living using savings",Czechia,Women - Under 35,From 3 up to 6 months ,27.72277228
"Without income, length of time household could maintain the same standard of living using savings",Denmark,Women - Under 35,From 3 up to 6 months ,10
"Without income, length of time household could maintain the same standard of living using savings",European Union,Women - Under 35,From 3 up to 6 months ,21.59961686
"Without income, length of time household could maintain the same standard of living using savings",Estonia,Women - Under 35,From 3 up to 6 months ,14.05405405
"Without income, length of time household could maintain the same standard of living using savings",Finland,Women - Under 35,From 3 up to 6 months ,16
"Without income, length of time household could maintain the same standard of living using savings",France,Women - Under 35,From 3 up to 6 months ,26.41509434
"Without income, length of time household could maintain the same standard of living using savings",Germany,Women - Under 35,From 3 up to 6 months ,25.75757576
"Without income, length of time household could maintain the same standard of living using savings",Greece,Women - Under 35,From 3 up to 6 months ,13.75
"Without income, length of time household could maintain the same standard of living using savings",Hungary,Women - Under 35,From 3 up to 6 months ,32.69230769
"Without income, length of time household could maintain the same standard of living using savings",Ireland,Women - Under 35,From 3 up to 6 months ,26.08695652
"Without income, length of time household could maintain the same standard of living using savings",Italy,Women - Under 35,From 3 up to 6 months ,25.86206897
"Without income, length of time household could maintain the same standard of living using savings",Latvia,Women - Under 35,From 3 up to 6 months ,17.85714286
"Without income, length of time household could maintain the same standard of living using savings",Lithuania,Women - Under 35,From 3 up to 6 months ,24.27184466
